name,description,price,stock,category,image
Vintage Oak Dining Table,A stunning solid oak dining table with a warm vintage finish. Seats up to 6 people comfortably. Perfect centerpiece for any dining room.,899.99,8,Tables & Chairs,https://images.unsplash.com/photo-1758977404038-8aa1845d6635?q=80&w=1054&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mid-Century Sofa,A beautifully crafted mid-century modern sofa upholstered in premium fabric. Features tapered wooden legs and deep cushions for ultimate comfort.,1299.99,5,Sofas & Armchairs,https://images.unsplash.com/photo-1540574163026-643ea20ade25?w=800
Rustic Wooden Bookshelf,A charming rustic bookshelf crafted from reclaimed pine wood. Five spacious shelves for all your books and decorative items.,449.99,12,Storage Furniture,https://images.unsplash.com/photo-1603058817990-2b9a9abbce86?q=80&w=986&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Leather Armchair,A classic leather armchair with a timeless vintage design. Hand-stitched details and solid wood frame ensure lasting elegance.,799.99,6,Sofas & Armchairs,https://images.unsplash.com/photo-1605702098590-d552a98dc93d?q=80&w=986&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Antique Lamp,An elegant floor lamp with an antique brass finish and adjustable arm. Adds warm ambient lighting to any room.,249.99,15,Lighting,https://images.unsplash.com/photo-1617600273941-fc17e96eecad?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Farmhouse Bed Frame,A gorgeous farmhouse-style bed frame crafted from solid wood with a distressed white finish. Available in Queen and King sizes.,1099.99,7,Beds & Mattresses,https://images.unsplash.com/photo-1617198998846-56e8a4c6e7b7?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Woven Jute Area Rug,A handwoven jute area rug with a natural earthy tone. Adds warmth and texture to any living space. Available in 5x8 and 8x10 sizes.,199.99,20,Rugs & Home Textiles,https://images.unsplash.com/photo-1600166898405-da9535204843?w=800
Vintage Wall Mirror,An ornate vintage wall mirror with an aged gold frame. Perfect for hallways,329.99,10,Home Decor,https://images.unsplash.com/photo-1715249892473-b248858ff2a6?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Wood Coffee Table,A unique coffee table crafted from reclaimed wood with hairpin steel legs. Each piece is one-of-a-kind with its own natural character.,549.99,9,Tables & Chairs,https://images.unsplash.com/photo-1619911013257-8f1fbc919fc9?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Modern Bedside Table,A charming bedside table with a drawer and open shelf. Finished in antique white with brass hardware.,179.99,14,Beds & Mattresses,https://plus.unsplash.com/premium_photo-1734543942836-3f9a0c313da4?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Shelving Unit,A bold industrial-style shelving unit with reclaimed wood shelves and black iron pipe brackets. Perfect for modern loft spaces.,399.99,8,Storage Furniture,https://images.unsplash.com/photo-1766047125602-38a468895ffc?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Velvet Chesterfield Sofa,A luxurious Chesterfield sofa upholstered in rich jewel-toned velvet. Deep button tufting and rolled arms give it a classic Victorian appeal.,1799.99,3,Sofas & Armchairs,https://images.unsplash.com/photo-1655149555422-bb79f0701829?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rattan Pendant Light,A handwoven rattan pendant light that casts beautiful warm patterns. Ideal for dining rooms and cozy reading nooks.,149.99,18,Lighting,https://images.unsplash.com/photo-1768320912065-78aac5927678?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Dresser with Mirror,A stunning vintage dresser with six spacious drawers and an attached mirror. Finished in a chalky sage green with gold handles.,899.99,4,Beds & Mattresses,https://images.unsplash.com/photo-1715249891485-4b8e66b584dc?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Moroccan Pouf Ottoman,A hand-stitched genuine leather pouf in a classic Moroccan pattern. Doubles as a footrest or extra seating.,129.99,22,Sofas & Armchairs,https://images.unsplash.com/photo-1764685809128-5331510d392e?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Walnut Desk,A sleek solid walnut writing desk with two drawers and clean lines. Ideal for home offices and study spaces.,749.99,6,Desk & Desk Chairs,https://images.unsplash.com/photo-1657524432873-c37d2ac7b8cb?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Boho Macrame Wall Hanging,A large handcrafted macrame wall hanging made from natural cotton rope. A statement piece for any bohemian-inspired interior.,89.99,25,Home Decor,https://images.unsplash.com/photo-1632393121391-3c40fcfafe1a?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cast Iron Candle Holders Set,A set of three cast iron pillar candle holders with varying heights. Adds dramatic rustic charm to mantels and dining tables.,69.99,30,Home Decor,https://plus.unsplash.com/premium_photo-1696879451633-2e6bd6db1f94?q=80&w=988&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tufted Velvet Bench,An elegant tufted bench upholstered in deep emerald velvet with a gold metal base. Perfect for the end of a bed or entryway.,379.99,8,Beds & Mattresses,https://images.unsplash.com/photo-1680770638423-6d4c1089bd7a?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Globe Bar Cabinet,A stunning vintage globe bar cabinet that opens to reveal a mirrored interior with bottle storage. A conversation-starting piece.,599.99,5,Storage Furniture,https://images.unsplash.com/photo-1729339671840-a5dbbc517f3d?q=80&w=997&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Linen Window Curtains,Elegant linen curtains in a natural off-white tone. Lightweight and airy,79.99,35,Window Treatments,https://images.unsplash.com/photo-1754613389158-3b13a051a81a?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Wooden Ladder Shelf,A minimalist ladder-style shelf in natural pine. Five rungs provide ample display and storage space.,229.99,11,Storage Furniture,https://images.unsplash.com/photo-1762606368623-81bb2d5f5778?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Antique Ceramic Table Lamp,A hand-painted ceramic table lamp with an ivory linen shade. Brings artisan character to bedrooms and living rooms.,189.99,13,Lighting,https://images.unsplash.com/photo-1689519304039-6662ac14e89a?q=80&w=1067&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Wicker Storage Basket Set,A set of three handwoven wicker storage baskets in graduated sizes. Great for organizing blankets,99.99,20,Storage Furniture,https://images.unsplash.com/photo-1769286145156-70a40fff80ec?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Herringbone Wool Throw Blanket,A cozy herringbone-patterned wool throw blanket in warm neutral tones. Perfect for layering on sofas and beds.,119.99,18,Rugs & Home Textiles,https://images.unsplash.com/photo-1637819976869-928427bd7380?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Art Deco Dining Chairs Set of 2,A pair of stunning Art Deco dining chairs upholstered in boucle fabric with gold metal legs. Elevates any dining space.,459.99,7,Tables & Chairs,https://images.unsplash.com/photo-1691380303111-49566faa902e?q=80&w=957&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Trunk Storage Box,A vintage-inspired storage trunk with metal hardware and a faux leather exterior. Doubles as a coffee table or blanket chest.,289.99,9,Storage Furniture,https://images.unsplash.com/photo-1748512437466-b79a6c646092?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Terracotta Planter Set,A set of three handmade terracotta planters in graduated sizes. Adds earthy warmth to any room or outdoor patio.,59.99,28,Pots & Plants,https://images.unsplash.com/photo-1621512366232-0b7b78983782?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rattan Lounge Chair,A comfortable rattan lounge chair with a plush cushion in natural linen. A boho-chic addition to any living room or sunroom.,499.99,6,Sofas & Armchairs,https://images.unsplash.com/photo-1623145571974-d9c41b34ca8d?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Style Coat Rack,A freestanding coat rack in an antique bronze finish with six double hooks. Elegant and practical for entryways.,159.99,12,Home Decor,https://images.unsplash.com/photo-1592178034856-845669eff0d8?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Upholstered Wingback Chair,A classic wingback chair upholstered in a warm caramel fabric. Features a solid wood frame and nailhead trim.,849.99,5,Sofas & Armchairs,https://images.unsplash.com/photo-1722357533644-9b20e356ba5f?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Marble Top Side Table,An elegant side table with a genuine marble top and brushed gold legs. A luxurious accent for living rooms and bedrooms.,349.99,8,Tables & Chairs,https://images.unsplash.com/photo-1717416699020-9e3a3ff2351a?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Vintage Persian Style Rug,A richly patterned Persian-style area rug in deep jewel tones of burgundy and navy. Hand-knotted for durability and beauty.,899.99,4,Rugs & Home Textiles,https://images.unsplash.com/photo-1594847915592-2a7ef568e2b6?q=80&w=910&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Linen Upholstered Bed Frame,A minimalist bed frame upholstered in soft grey linen with a low-profile headboard. Available in Queen and King.,1199.99,5,Beds & Mattresses,https://plus.unsplash.com/premium_photo-1682663742998-9cacb3d6728e?q=80&w=1026&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Brass Geometric Candle Sconce,A set of two wall-mounted brass candle sconces in a bold geometric design. Adds architectural interest to walls.,139.99,16,Lighting,https://images.unsplash.com/photo-1662042769653-252de8b7c306?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Spindle Back Dining Chairs Set of 4,A set of four classic spindle-back dining chairs in a natural oak finish. Timeless design that complements any dining table.,699.99,4,Tables & Chairs,https://plus.unsplash.com/premium_photo-1684445034763-013f0525c40c?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Carved Wooden Trinket Box,A beautifully hand-carved wooden trinket box with floral motifs. Perfect for storing jewelry and small keepsakes.,49.99,22,Home Decor,https://images.unsplash.com/photo-1672664003230-106aa4f534c7?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
